ID,Common Name,Scientific Name,Plant Type,Height,Spread,Root Depth,Seasonal Interest,Notes,Flower Color,Root Type,Bloom Time,Fruit Time,Texture,Form,Growth Rate,Insect Predation,Disease,Light,Hardiness Zone,Soil Moisture,Soil pH,Ecological Function,Human Use/Crop,Region
2967,Painted Bamboo,Bambusa vulgaris 'Vittata',,50,25,10,All Year,"Clumping bamboo. New shoots in late summer or fall. Roots extend horizontally. Tolerates a variety of soil types, best in those that are well-drained.  Easily propagated. Last noted flowering was in 1873.",,"Fibrous Shallow, Rhizome",,,Medium,Clump,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",5.6 - 7.5,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Food, Medicine, Ornamental, Wood",
2968,Dwarf Buddha's Belly Bamboo,Bambusa vulgaris 'Wamin',Grass,16,15,10,All Year,Clumping bamboo. Roots extend horizontally. Best in soils with good drainage. ,,"Fibrous Shallow, Rhizome",,,Medium,Clump,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate",5.5 - 7.0,"Erosion Control, Hedge, Mulch Maker, Soil Builder, Wildlife Habitat","Container Garden, Fiber, Ornamental",
2929,Malabar Spinach,Basella alba,Vine,394,40,0,All Year,"Best on trellises, but can be trained as a bush. Likes fertile, well-drained soil. Often grown as an annual. Grows faster and more vigorously in hot, sunny weather. Flowering makes leaves more bitter - water frequently to prevent flowering.","Pink, Purple, White",Fibrous Deep,Summer - Fall,Fall - ?,Coarse,Vine,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",13-Sep,"Wet, Moderate",5.5 - 7.0,,"Dye, Food, Medicine, Ornamental",
2475,American Slough Grass,Beckmannia syzigachne,Grass,36,18,16,Spring-Summer,,Yellow,Fibrous Deep,Late Spring - Early Summer,,Medium,Upright,Moderate,,,"Full_Sun, Partial_Shade",10-Jan,"Wet, Moderate",5.5 - 7.5,,"Fiber, Food",
3221,"Begonia, Wax",Begonia semperflorens,Perennial,18,12,7,All Year,Blooms throughout the year indoors and where it is warm enough year round. Best in well-draining soil. Very popular as an annual. Only some cultivars tolerate full shade. Easily propagated with cuttings. ,"Orange, Pink, Red, White, Yellow",Fibrous Shallow,Spring - Fall,Fall - ?,Medium,Mound,Slow,Minor,Minor,"Full_Sun, Partial_Shade, Shade",11-Sep,Moderate,5.6 - 6.5,Air Cleaner,"Container Garden, Ornamental",
3157,Hairy Beggar's Ticks,Bidens pilosa,Annual,40,30,0,,"Flowers year round. Self-fertile, cross-pollinated by insects. Fruits have burrs that cling to people and animals for dispersal. Morphology very variable. 4-5 successive plantings are possible per year.","Pink, White, Yellow",Tap,,,Medium,Upright,Fast,Minor,Minor,Full_Sun,11-May,Moderate,4.0 - 9.0,"Domestic Animal Forage, Insecticide, Insectory","Dye, Food, Medicine, Ornamental",
3158,Annatto,Bixa orellana,Evergreen Shrub,20,12,60,All Year,"Best in organically rich, consistently moist but well-draining soils. Fruits ripen year long in tropical climates, primarily in summer. Seed-grown plants take comparatively long to flower. Produces root suckers. ",Pink,"Tap, Fibrous Deep",,,Coarse,Rounded,Moderate,Minor,Minor,Full_Sun,12-Oct,Moderate,5.5 - 7.5,"Hedge, Insectory","Biomass, Dried Flower, Dye, Essential Oil, Food, Insect Repellent, Medicine, Oil, Wax, Resin or Polish, Ornamental, Wood",
2856,"Tree Fern, Dwarf",Blechnum gibbum,Fern,4,3,0,All Year,Best in high humidity and fertile soils with good drainage. Somewhat tolerant of dry air. Intolerant of limey water. ,,"Rhizome, Fibrous Shallow",,,Fine,Rosette,Fast,Medium,Minor,Partial_Shade,11-Sep,"Wet, Moderate",5.5 - 6.5,Groundcover,"Container Garden, Ornamental",
3160,Parrotweed,Bocconia frutescens,Evergreen Shrub,20,15,195,,Thrives in well-drained soils. Tolerates a wide range of abiotic conditions. Wind and insect pollinated. Flowers sporadically throughout the year in its native range. ,"Green, Purple",Fibrous Deep,,,Coarse,Vine,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Wet, Moderate, Dry",4.5 - 8.0,"Insectory, Wildlife Food","Coppice, Dye, Medicine, Ornamental",
2286,Rattlesnake Fern,Botrychium virginianum,Fern,36,12,10,Spring-Summer,Deciduous fern. Needs organically rich soils. ,,Rhizome,Fall - ?,,Fine,Upright,Moderate,Medium,Minor,"Partial_Shade, Shade",10-Mar,Moderate,4.5 - 6.5,,"Food, Medicine",
3167,Great Bougainvillea,Bougainvillea spectabilis,Evergreen Shrub,40,40,0,All Year,Best in well-drained soils. Tolerates trimming well. Has thorns. Can be grown as an annual. Blooms continually. Flowers white with brightly colored bracts. Deciduous where dry/cold season occurs. Best flowering in full sun. Delicate roots.,"Orange, Pink, Purple, Red, White, Yellow",Fibrous Shallow,Spring - Fall,Spring - Fall,Medium,Vine,Fast,Medium,Minor,"Full_Sun, Partial_Shade",11-Sep,"Moderate, Dry",5.0 - 6.0,Insectory,"Container Garden, Dried Flower, Medicine, Ornamental",
1957,Side Oats Grama,Bouteloua curtipendula,Grass,36,18,36,Summer,"Found in shallow soils, steeply sloping lands, deep sand and exposed sites.  Range - Canada to Argentina.  Seldom forms a dense sod under the soil conditions and climatic conditions where it is most common.  Moderately aggressive.  A bunch grass that self","Purple, Red",Fibrous Shallow,,,Fine,Clump,Fast,Minor,Minor,Full_Sun,10-Mar,"Moderate, Dry",5.5 - 7.8,"Erosion Control, Nurse, Soil Builder, Soil Cultivator",,
1905,Blue Grama,Bouteloua gracilis,Grass,20,18,16,,Pink to red flowers that look like eyelashes; blooms persist through winter; naturalizes but not invasive; tolerates foot traffic,,Fibrous Shallow,,,Fine,Clump,Fast,Minor,Minor,Full_Sun,10-Mar,Dry,6.0 - 8.0,"Domestic Animal Forage, Erosion Control, Nurse, Soil Builder, Soil Cultivator",,
2485,Water Shield,Brasenia schreberi,Aquatic,4,72,0,Summer-Fall,"The water shield is a floating-leaved plant, but the long leaf stalks reach all the way to the bottom where they attach to a long creeping root that is anchored in the mud.","Brown, Purple, Rose",,Summer - Late Summer,,Medium,Matlike,Fast,,,"Full_Sun, Partial_Shade",11-Mar,Wet,0.0 - 0.0,"Groundcover, Wildlife Food, Wildlife Habitat","Food, Medicine",
2481,Hairy Wood Chess,Bromus pubescens,Grass,60,12,0,Summer,,,Fibrous Shallow,Early Summer - Late Summer,,Fine,Upright,Fast,Minor,Minor,"Partial_Shade, Shade",10-Mar,"Wet, Moderate",0.0 - 0.0,Wildlife Food,,
2273,Paper Mulberry,Broussonetia papyrifera,Deciduous Tree,50,40,,,,,Tap,Late Summer - Early Fall,,Medium,Rounded,Moderate,,,"Full_Sun, Partial_Shade, Shade",10-Jun,"Moderate, Dry",,,Fiber,
3168,Angel's Trumpet,Brugmansia x candida,Evergreen Shrub,20,10,0,Summer-Fall,"Grown as an annual in cooler climates. Best in organically rich, well drained soils. Heavy feeder, requires high nutrient input. Blooms repeatedly in tropical conditions. Semi-deciduous if overwintered indoors.","Orange, Pink, White, Yellow",Fibrous Deep,Summer - Fall,Fall - ?,Coarse,Umbrella,Fast,Minor,Minor,Full_Sun,10-Aug,Moderate,5.5 - 7.5,Insectory,"Aromatics/Fragrance, Container Garden, Medicine, Ornamental",
1908,Buffalograss,Buchloe dactyloides,Grass,8,0,12,Summer,"Doesn't do well in sand.Likes medium to fine textured soils.Withstands foot traffic.Does not withstand fertilization and overwatering which will lead to pest and disease problems.Ideally suited for erosion control on ranges and pasture lands where",Brown,Stolon,,,Medium,Sod Former,Moderate,Minor,Minor,Full_Sun,10-Apr,"Moderate, Dry",6.5 - 8.0,"Domestic Animal Forage, Erosion Control, Reclamator, Wildlife Food",,
3171,Gumbo Limbo,Bursera simaruba,Deciduous Tree,40,40,36,All Year,"Can adapt to poor soils, best in those that are well drained. Can form large surface roots. Semi-deciduous. Dioecious or monoecious. ",Green,"Tap, Fibrous Deep",Spring - Early Summer,Summer - ?,Medium,Rounded,Fast,Minor,Minor,"Full_Sun, Partial_Shade",12-Oct,Moderate,4.5 - 8.0,"Domestic Animal Forage, Erosion Control, Hedge, Insectory, Reclamator, Wildlife Food, Windbreak","Aromatics/Fragrance, Biomass, Coppice, Fiber, Food, Insect Repellent, Medicine, Oil, Wax, Resin or Polish, Ornamental, Wood",
2919,Nance,Byrsonima crassifolia,Evergreen Tree,33,0,0,All Year,"Blooming/fruiting varies by location, as listed for Mexico. Hermaphrodite. Best in deep, well-draining soils. May have extending superficial roots. ","Orange, Red, Yellow",Fibrous Deep,Late Winter - Summer,Summer - Fall,Coarse,Rounded,Fast,Minor,Minor,Full_Sun,11-Oct,Moderate,5.5 - 8.0,"Hedge, Insectory, Nitrogen Fixer, Nurse, Reclamator, Soil Builder, Wildlife Food, Wildlife Habitat, Windbreak","Biomass, Compost, Dye, Food, Medicine, Ornamental",
3172,Byttneria,Byttneria aculeata,Deciduous Shrub,6,0,0,,"Sometimes growing erect, but most commonly as a vine using other plants as support. Flowering/fruiting listed recorded in Nicaragua. ","Cream, Pink, Purple",Fibrous Deep,Fall - ?,Winter - ?,Coarse,Vine,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,Moderate,6.0 - 7.5,Insectory,"Dye, Medicine",
3183,Dwarf Ponciana,Caesalpinia pulcherrima,Evergreen Shrub,20,12,0,All Year,"Best in fertile, well-drained soils. Blooms all year in tropical climates with peak flowering times. Semi-deciduous near tolerance limits. Returning perennial in zone 8.","Orange, Red, Yellow",,Early Spring - Winter,,Fine,Upright,Fast,Minor,Minor,Full_Sun,12-Sep,Moderate,6.0 - 7.8,"Hedge, Insectory, Reclamator","Food, Medicine, Ornamental",
2927,Pigeon Pea,Cajanus cajan,Perennial,13,0,79,,Grown often as an annual or short-lived perennial. Time of flowering varies based on when they are planted. Cultivars vary in pest and disease resistance. Important intercropping species. ,"Red, Yellow",Tap,,,Coarse,Upright,Fast,Major,Major,Full_Sun,11-Sep,"Moderate, Dry",5.0 - 7.5,"Domestic Animal Forage, Erosion Control, Hedge, Insectory, Nitrogen Fixer, Soil Builder, Soil Cultivator","Biomass, Fiber, Food, Medicine",
3184,Angel Wings,Caladium bicolor,Perennial,30,30,0,,Rarely flowers. Best in organically rich and well-drained soils. Tuber are removed and replanted in cooler climates. Dioecious.,"Green, White","Tuber, Rhizome",Spring - ?,,Coarse,Clump,Moderate,Minor,Minor,"Partial_Shade, Shade",10-Sep,"Wet, Moderate",5.5 - 6.5,Insecticide,"Container Garden, Cut Flower, Food, Medicine, Ornamental",
3185,Cachibou,Calathea lutea,Perennial,195,0,0,,Is paraheliotropic. Best in organic well-draining soils. Over-winter rhizome in cold climates. Flowers throughout the year in the tropics.,"Brown, Red, Yellow","Rhizome, Tuber",,,Coarse,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",12-Sep,Moderate,5.5 - 6.5,Insectory,"Container Garden, Cut Flower, Fiber, Food, Oil, Wax, Resin or Polish, Ornamental",
2940,Red Calliandra,Calliandra calothyrsus,Evergreen Tree,40,0,0,,"Blooms repeatedly. Semi-deciduous in areas with a dry season, evergreen in humid climates. ","Green, Pink, Purple, Red","Tap, Fibrous Shallow",,,Fine,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade, Shade",11-Oct,"Moderate, Dry",4.5 - 7.5,"Domestic Animal Forage, Erosion Control, Hedge, Insectory, Nitrogen Fixer, Nurse, Soil Builder, Soil Cultivator","Biomass, Fiber, Ornamental",
2857,Tea,Camellia sinensis,Evergreen Shrub,15,10,60,Fall-Winter,"Best in organically rich, well-draining soils. Requires special care in cooler climates. Lateral root development varies. Cultivars vary in cold tolerance. Primarily insect pollinated.",White,"Tap, Fibrous Shallow",Fall - Early Winter,Fall - ?,Coarse,Rounded,Slow,Medium,Medium,Partial_Shade,11-Jul,Moderate,4.5 - 5.6,"Hedge, Insectory, Soil Builder","Aromatics/Fragrance, Container Garden, Dye, Essential Oil, Food, Medicine, Oil, Wax, Resin or Polish, Ornamental, Wood",
2933,Pili Nut,Canarium ovatum,Deciduous Tree,82,0,0,All Year,"Dioecious. Fruit growth lasts 10 months. Needs well-drained soils, grows best when they are deep and fertile. Insect-pollinated. Seed propagation not recommended. ","White, Yellow",,Spring - ?,Spring - Fall,Coarse,Rounded,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",11-Oct,"Wet, Moderate",5.0 - 6.0,"Soil Builder, Wildlife Food, Windbreak","Biomass, Fiber, Food, Medicine, Oil, Wax, Resin or Polish, Oil, Wax, Resin or Polish, Ornamental",
3186,Jack Bean,Canavalia ensiformis,Perennial,78,78,15,,"Commonly cultivated as an annual. Flowers 3 months after planting. Does well on poor soils. Form is bushy, climbing, or prostrate.","Purple, Rose, White","Fibrous Deep, Tap",Summer - Fall,Fall - ?,Coarse,Spreading,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",10-Jul,Moderate,4.3 - 8.0,"Domestic Animal Forage, Insecticide, Nitrogen Fixer, Soil Builder","Food, Medicine",
3035,Sword Bean,Canavalia gladiata,Vine,32,0,0,,Mainly cultivated as an annual. Requires deep soil. Can tolerate a wide range of soil types. Blooms continuously. ,"Pink, White",Fibrous Deep,,,Coarse,Vine,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Aug,Moderate,5.0 - 6.0,"Domestic Animal Forage, Nitrogen Fixer, Soil Builder","Food, Medicine, Ornamental",
2923,Edible Canna,Canna edulis,Perennial,96,0,24,All Year,Often grown as an annual. ,"Orange, Red","Tuber, Long Rhizome",Late Summer - Fall,Fall - ?,Coarse,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Aug,"Wet, Moderate",4.5 - 8.0,"Domestic Animal Forage, Hedge, Soil Builder",Food,
3187,Canna Lily,Canna indica,Perennial,60,23,5,Summer-Fall,Flowers are hermaphrodite. Needs deep fertile soils that are well-drained. Tuber can be overwintered in cool climates. ,"Orange, Red, Yellow","Tuber, Long Rhizome",Late Summer - Fall,Fall - ?,Coarse,Upright,Moderate,Medium,Minor,Full_Sun,11-Jul,"Wet, Moderate",5.5 - 7.5,"Domestic Animal Forage, Insecticide, Water Purifier","Container Garden, Dye, Fiber, Food, Medicine, Ornamental",
3174,Pepper,Capsicum annuum,Perennial,48,24,8,Summer-Fall,"Cultivated as an annual. Prefers  organically rich, well-drained soils. Huge range in cultivars, divided into five different botanical groups, that vary in their characteristics. Sweet peppers are more adapted to temperate conditions than hot. ","White, Yellow","Tap, Fibrous Shallow",Early Summer - Early Fall,Summer - Fall,Medium,Upright,Moderate,Medium,Medium,Full_Sun,11-Sep,Moderate,4.3 - 8.0,Insecticide,"Container Garden, Dye, Food, Medicine, Ornamental",
3188,Andiroba,Carapa guianensis,Deciduous Tree,150,0,20,,Monoecious. Flowering period differs greatly with climate. Best in fertile organic soils. Strong lateral root system. Wide and dense crown. ,White,"Tap, Fibrous Shallow",,Spring - Summer,Coarse,Single Stem,Fast,Medium,Minor,"Full_Sun, Partial_Shade",11-Sep,Moderate,5.0 - 7.5,"Insecticide, Insectory, Soil Builder","Coppice, Dye, Fiber, Insect Repellent, Medicine, Oil, Wax, Resin or Polish, Ornamental, Wood",
2497,Wheat Sedge,Carex atherodes,Grass,60,24,8,Spring-Summer,,Green,Rhizome,Early Summer,,Medium,Upright,Moderate,Minor,Minor,Full_Sun,10-Feb,"Wet, Moderate",4.5 - 7.2,Wildlife Habitat,,
2561,Copper-Shouldered Oval Sedge,Carex bicknellii,Grass,36,24,8,Spring,,"Green, Yellow",Bulb,Late Spring - Summer,,Fine,Single Stem,Moderate,Minor,Minor,"Full_Sun, Partial_Shade, Shade",10-Mar,"Wet, Moderate",4.5 - 6.6,Wildlife Habitat,,
2562,Plains Oval Sedge,Carex brevior,Grass,36,24,0,Spring-Summer,,"Green, Yellow",,Spring - Late Spring,,Medium,Upright,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",10-Mar,"Moderate, Dry",4.5 - 6.6,Wildlife Habitat,,
2478,Bottlebrush Sedge,Carex hystericina,Grass,40,24,12,Spring-Summer,"Found in marshy areas, swamps, shorelines, ditches, and other wet open sites.",Green,Rhizome,Late Spring - Summer,,Medium,Clump,Moderate,Minor,Minor,"Full_Sun, Partial_Shade, Shade",10-Mar,Wet,6.5 - 8.5,Wildlife Habitat,,
2505,Beaked Sedge,Carex retrorsa,Grass,40,24,0,Spring-Fall,"Most common in wet meadows, marshes, edges of lakes, ponds, and streams, and other riparian areas (grows best on gentle slopes.) ",Yellow,Rhizome,Late Spring - Early Fall,,Medium,Upright,Moderate,Minor,Minor,"Full_Sun, Partial_Shade, Shade",10-Mar,"Wet, Moderate",3.0 - 7.9,Wildlife Habitat,,
2506,Pointed Broom Sedge,Carex scoparia,Grass,30,20,8,Spring-Fall,,Green,Fibrous Shallow,Early Summer - Late Summer,,Medium,Upright,Moderate,,Minor,"Full_Sun, Partial_Shade, Shade",10-Mar,"Wet, Moderate",4.6 - 6.9,Wildlife Habitat,,
2507,Awl-Fruited Sedge,Carex stipata,Grass,42,20,8,Spring-Summer,,"Brown, Green, Yellow",Rhizome,Late Spring - Early Summer,,Coarse,Upright,Slow,Minor,Minor,"Full_Sun, Partial_Shade",10-Mar,"Wet, Moderate",4.9 - 7.9,Wildlife Habitat,,
2858,Papaya,Carica papaya,Evergreen Tree,240,180,40,All Year,Likes soils rich in organic matter that have good drainage. Fruits and flowers throughout the year. ,"White, Yellow","Tap, Fibrous Shallow",,,Coarse,Upright,Fast,Medium,Medium,Full_Sun,12-Oct,Moderate,5.5 - 7.0,"Domestic Animal Forage, Insectory","Aromatics/Fragrance, Food, Medicine, Oil, Wax, Resin or Polish, Ornamental",
2859,Fishtail Palm,Caryota urens,Evergreen Tree,65,15,0,,"Best in soils with moderate to high fertility. Monoecious. Flowers once for a duration of several years, periodically through the year, then dies. ",White,Fibrous Shallow,,,Coarse,Upright,Slow,Minor,Minor,"Partial_Shade, Shade",12-Sep,"Wet, Moderate",6.0 - 7.5,"Domestic Animal Forage, Wildlife Food","Container Garden, Cut Flower, Fiber, Food, Medicine, Ornamental, Wood",
2860,White Sapote,Casimiroa edulis,Evergreen Tree,50,45,0,,Some cultivars require cross-pollination. Blooming/fruiting varies significantly by location. Extending roots can cause damage. ,Yellow,"Tap, Fibrous Deep",Spring - ?,Summer - Fall,Coarse,Spreading,Fast,Minor,Minor,"Full_Sun, Partial_Shade",10-Sep,"Wet, Moderate",6.5 - 8.0,"Wildlife Food, Wildlife Habitat","Food, Medicine, Ornamental, Wood",
3189,Golden Shower Tree,Cassia fistula,Deciduous Tree,50,50,0,Spring-Summer,"Prefers well draining soils, but tolerates shallow and infertile soils. ",Yellow,Tap,Spring - Fall,Fall - Spring,Medium,Upright,Slow,Medium,Minor,"Full_Sun, Partial_Shade",12-Sep,Moderate,5.5 - 8.0,"Insectory, Reclamator, Wildlife Food","Aromatics/Fragrance, Biomass, Coppice, Dye, Food, Medicine, Ornamental, Wood",
3190,Pink Shower Tree,Cassia grandis,Deciduous Tree,60,60,0,Spring,"Semi-deciduous, evergreen in some locations. Best in well-drained soils, but tolerates seasonal waterlogging. Tolerates light shade. May reach up to 100ft (30m) in native habitat. Root nodulation ability unclear.","Orange, Pink, Purple",Tap,Early Spring - Spring,Spring - Fall,Medium,Umbrella,Slow,Minor,Minor,Full_Sun,12-Sep,Moderate,6.1 - 7.8,"Domestic Animal Forage, Hedge, Reclamator, Wildlife Food","Biomass, Food, Medicine, Ornamental, Wood",
2936,She-oak,Casuarina equisetifolia,Evergreen Tree,100,40,0,,"Dioecious or monoecious. Tolerates brief periods of waterlogging and calcareous, granitic, and poor soils. Branchlets deciduous. Flowers/fruits throughout the year (twice per year in areas with wet and dry seasons). Spreads with root suckers. ",,"Tap, Fibrous Shallow",,,Medium,Upright,Fast,Medium,Major,Full_Sun,10-Sep,"Moderate, Dry",4.5 - 7.5,"Erosion Control, Nitrogen Fixer, Reclamator, Soil Builder, Windbreak","Biomass, Dye, Fiber, Medicine, Ornamental, Wood",
3191,Periwinkle (Vinca),Catharanthus roseus,Perennial,24,24,27,Spring-Fall,"Needs well-drained soils, tolerates low fertility. Thrives in heat and humidity. Able to self-pollinate. Flowers and fruits year round in warm enough climates. Sometimes has sprawling habit. Somewhat woody stems as a perennial. ","Pink, Purple, White",Tap,Spring - Fall,,Medium,Upright,Fast,Minor,Minor,"Full_Sun, Partial_Shade",11-Aug,"Moderate, Dry",5.5 - 6.2,"Groundcover, Insectory","Container Garden, Cut Flower, Hanging Basket, Medicine, Ornamental",
4714,Catalina Mountain Lilac,Ceanothus arboreus,Evergreen Tree,25,12,24,Spring,"Aka Feltleaf Ceanothus, and Ceanothus arboreus var. glabra.",Blue,Tap,Early Spring - Late Spring,Summer - Fall,Medium,Upright,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",11-Oct,Dry,6.0 - 6.9,"Insectory, Nitrogen Fixer",,
4716,Cropleaf Ceanothus,Ceanothus divergens,Evergreen Shrub,1,6,12,,"Height is only about 1 inch to three inches with a spread of six feet. Aka Ceanothus prostratus, or Mahaleb mat.Found on dry floors of pine forests.",White,Tap,,Spring,Medium,Matlike,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",10-Sep,Dry,5.0 - 6.0,"Erosion Control, Insectory, Nitrogen Fixer, Soil Builder","Dye, Soap",
4717,Santa Barbara Ceanothus,Ceanothus impressus,Evergreen Shrub,10,10,28,Spring,"Aka California Lilac, Santa Barbara Buckbrush.",Blue,Tap,,Summer,Medium,Spreading,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",10-Aug,Dry,5.6 - 7.6,"Insectory, Nitrogen Fixer","Dye, Ornamental, Soap",
4718,Maritime Ceanothus,Ceanothus maritimus,Evergreen Shrub,3,5,90,,Aka Maritime Buckbrush.,Blue,Tap,Early Spring - Late Spring,Summer,Medium,Spreading,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",10-Aug,Dry,5.5 - 6.8,"Groundcover, Insectory, Nitrogen Fixer, Reclamator",Ornamental,
3053,Bigpod Ceanothus,Ceanothus megacarpus,Evergreen Shrub,16,16,0,Spring,"Lifespan is long and flowers sparse in the wild, domestic versions (California lilacs) have showy blooms and far shorter lives. ","Lavender, White",Fibrous Deep,Late Winter - Spring,Winter - Spring,Medium,Rounded,Fast,Minor,Minor,Full_Sun,10-Jul,Dry,6.0 - 8.0,"Erosion Control, Hedge, Insectory, Nitrogen Fixer, Soil Builder, Wildlife Food","Aromatics/Fragrance, Ornamental",
3067,Squaw Carpet,Ceanothus prostratus,Evergreen Shrub,8,6,14,Summer-Fall,N fixes with Frankia,Blue,,Early Spring - Spring,Spring - Summer,Medium,Prostrate,Slow,Minor,Minor,"Partial_Shade, Shade",10-Jun,Moderate,5.2 - 7.3,"Groundcover, Insectory, Nitrogen Fixer","Dye, Soap",
4719,Hollyleaf Ceanothus,Ceanothus purpureus,Evergreen Shrub,6,9,24,Spring,"Aka Ceanothus jepsonii var purpureus, and Napa Buckbrush.",Blue,Tap,Early Spring - Late Spring,Summer,Medium,Spreading,Moderate,Minor,Minor,"Full_Sun, Partial_Shade",10-Sep,Dry,6.0 - 8.0,Insectory,,
3192,Trumpet Tree,Cecropia obtusifolia,Evergreen Tree,50,50,0,,Dioecious. Flowers and fruits throughout the year. Has prominent stilt roots. Tolerant of a many soils. ,"Green, White, Yellow",Fibrous Shallow,,,Coarse,Upright,Fast,Major,Major,Full_Sun,12-Oct,"Wet, Moderate",5.0 - 7.0,"Domestic Animal Forage, Erosion Control, Insectory, Reclamator, Wildlife Food, Wildlife Food","Fiber, Medicine, Ornamental, Wood",
3074,Carob,Ceratonia siliqua,Evergreen Tree,40,40,0,All Year,May reach up to 17m (55ft) in the wild. Termite resistant. Recommended to plant 1 male tree per 25-30 female. Some trees are hermaphroditic. Flowers in the fall in the Mediterranean. Tolerates large range in soil variation. Extensive lateral roots.,Red,"Fibrous Deep, Tap",Spring - ?,Summer - Fall,Medium,Rounded,Slow,Minor,Minor,"Full_Sun, Partial_Shade",11-Sep,"Moderate, Dry",6.0 - 8.0,"Domestic Animal Forage, Nitrogen Fixer, Windbreak","Biomass, Dye, Food, Medicine, Oil, Wax, Resin or Polish, Wood",
2486,Coontail,Ceratophyllum demersum,Aquatic,12,10,0,Spring-Fall,"A good pond oxygenator, it usually grows submerged in the water but is sometimes found floating on the surface.All Ceratophyllum species are obligately submerged aquatics and cannot tolerate periods of emergence.",Green,,Summer - Early Fall,,,Spreading,Fast,,,"Full_Sun, Partial_Shade, Shade",10-Mar,,6.0 - 9.0,"Water Purifier, Wildlife Food, Wildlife Habitat",,
3194,Night Blooming Jessamine,Cestrum nocturnum,Evergreen Shrub,144,6,0,,Blooms periodically in warm weather. Returns from freezing to the ground in zones 8 and 9. Best flowering in full sun. Best in well-draining soils. ,"Green, White",Fibrous Deep,,,Coarse,Vine,Fast,Medium,Minor,"Full_Sun, Partial_Shade",11-Aug,Moderate,6.6 - 7.5,"Hedge, Insectory, Wildlife Food","Aromatics/Fragrance, Container Garden, Essential Oil, Medicine, Ornamental",
3218,"Palm, Parlor",Chamaedorea elegans,Perennial,96,36,10,All Year,"Flowers all year in optimal growing conditions. Best in rich, well-draining soils. Do not prune. Dioecious. ",Yellow,Fibrous Shallow,,,Medium,Arching,Slow,Medium,Minor,"Partial_Shade, Shade",12-Oct,Moderate,5.5 - 7.5,Air Cleaner,"Container Garden, Ornamental",
3203,"Palm, Bamboo",Chamaedorea seifrizii,Evergreen Tree,12,8,0,All Year,Needs well-draining soils. Spreads naturally by suckers similar to bamboo. Produces flowers and fruit only in adequate sunlight. Dioecious. Adventitious roots can develop just above the soil surface. ,Yellow,Fibrous Shallow,Summer - ?,,Fine,Clump,Moderate,Minor,Minor,Partial_Shade,12-Sep,Moderate,5.5 - 7.0,"Air Cleaner, Hedge, Wildlife Food","Container Garden, Ornamental",
2487,Muskgrass,Chara vulgaris,Aquatic,30,20,0,Summer,,,,,,Medium,Spreading,Fast,Minor,Minor,"Full_Sun, Partial_Shade",10-Mar,Wet,6.5 - 7.5,"Toxin Absorber, Water Purifier, Wildlife Food, Wildlife Habitat",,
3196,Snowberry,Chiococca alba,Evergreen Shrub,10,10,0,,Blooms throughout the year in native range. Best in well-draining soils. ,"Cream, Yellow",Fibrous Shallow,,,Medium,Vine,Moderate,Minor,Minor,"Partial_Shade, Shade",11-Oct,"Wet, Moderate",5.5 - 7.5,"Domestic Animal Forage, Groundcover, Insectory, Wildlife Food","Medicine, Ornamental",
3233,Spider Plant,Chlorophytum comosum,Perennial,36,36,4,All Year,Flowers throughout the year. Grow in well-drained soil. Plantlets are formed on flowering nodes and can be easily rooted for propagation. Grown as an annual in colder climates. Root hardy in zone 8 & 9. ,White,"Tuber, Rhizome",Summer - ?,Summer - Fall,Fine,Rosette,Fast,Minor,Minor,"Partial_Shade, Shade",11-Aug,Moderate,5.0 - 7.0,"Air Cleaner, Erosion Control, Groundcover","Container Garden, Hanging Basket, Medicine, Ornamental",
3200,"Palm, Areca",Chrysalidocarpus lutescens,Evergreen Tree,30,15,0,All Year,"Best in organically rich, well-draining soils. Likes regular misting as a houseplant. Flowers and fruits year-long. ","White, Yellow",Fibrous Shallow,,,Fine,Arching,Fast,Medium,Minor,"Full_Sun, Partial_Shade",11-Oct,"Wet, Moderate",6.0 - 7.5,"Air Cleaner, Hedge",Container Garden,
1684,Shasta Daisy,Chrysanthemum x superbum 'Alaska',Perennial,36,24,,Summer,"Minor disease concern - wilt, rust in wet years. Minor insect concern - spider mites, aphids, leaf minors.Short life expectancy, but re-seeds itself.Longer life expectancy with regular care.",White,Rhizome,Early Summer - Early Fall,,Medium,Upright,Fast,Minor,Minor,Full_Sun,10-May,Moderate,,"Erosion Control, Nurse",Cut Flower,
