Species,Common Names,Ranking,Plant Type,Plant Url
Polystichum dudleyi,,,Fern,http://calscape.org/Polystichum-dudleyi-()
Polystichum imbricans,Cliff Sword Fern,,Fern,http://calscape.org/Polystichum-imbricans-(Cliff-Sword-Fern)
Polystichum imbricans ssp. curtum,,,Fern,http://calscape.org/Polystichum-imbricans-ssp.-curtum-()
Polystichum imbricans ssp. imbricans,,,Fern,http://calscape.org/Polystichum-imbricans-ssp.-imbricans-()
Polystichum kruckebergii,Kruckeberg's Sword Fern,,Fern,http://calscape.org/Polystichum-kruckebergii-(Kruckeberg's-Sword-Fern)
Polystichum lemmonii,,,Fern,http://calscape.org/Polystichum-lemmonii-()
Polystichum lonchitis,Holly Fern,,Fern,http://calscape.org/Polystichum-lonchitis-(Holly-Fern)
Polystichum munitum,Sword Fern,,Fern,http://calscape.org/Polystichum-munitum-(Sword-Fern)
Polystichum scopulinum,,,Fern,http://calscape.org/Polystichum-scopulinum-()
Populus angustifolia,Narrow Leaved Cottonwood,,Tree,http://calscape.org/Populus-angustifolia-(Narrow-Leaved-Cottonwood)
Populus fremontii,Fremont Cottonwood,,Tree,http://calscape.org/Populus-fremontii-(Fremont-Cottonwood)
Populus fremontii ssp. fremontii,Fremont Cottonwood,,Tree,http://calscape.org/Populus-fremontii-ssp.-fremontii-(Fremont-Cottonwood)
Populus tremuloides,Quaking Aspen,,Tree,http://calscape.org/Populus-tremuloides-(Quaking-Aspen)
Populus trichocarpa,Black Cottonwood,,Tree,http://calscape.org/Populus-trichocarpa-(Black-Cottonwood)
Porophyllum gracile,Slender Poreleaf,,Perennial herb,http://calscape.org/Porophyllum-gracile-(Slender-Poreleaf)
Porterella carnosula,,,Annual herb,http://calscape.org/Porterella-carnosula-()
Portulaca halimoides,Desert Portulaca,,"Annual herb,Succulent",http://calscape.org/Portulaca-halimoides-(Desert-Portulaca)
Potamogeton amplifolius,Broad-leaved Pondweed,,Perennial herb,http://calscape.org/Potamogeton-amplifolius-(Broad-leaved-Pondweed)
Potamogeton epihydrus,Nuttall's Ribbon-leaved Pondweed,,Perennial herb,http://calscape.org/Potamogeton-epihydrus-(Nuttall's-Ribbon-leaved-Pondweed)
Potamogeton foliosus,,,Perennial herb,http://calscape.org/Potamogeton-foliosus-()
Potamogeton foliosus ssp. foliosus,,,Perennial herb,http://calscape.org/Potamogeton-foliosus-ssp.-foliosus-()
Potamogeton illinoensis,Shining Pondweed,,Perennial herb,http://calscape.org/Potamogeton-illinoensis-(Shining-Pondweed)
Potamogeton natans,Floating Leaved Pondweed,,Perennial herb,http://calscape.org/Potamogeton-natans-(Floating-Leaved-Pondweed)
Potamogeton nodosus,Long-leaved Pondweed,,Perennial herb,http://calscape.org/Potamogeton-nodosus-(Long-leaved-Pondweed)
Potamogeton praelongus,White-stemmed Pondweed,,Perennial herb,http://calscape.org/Potamogeton-praelongus-(White-stemmed-Pondweed)
Potamogeton pusillus,Small Pondweed,,Perennial herb,http://calscape.org/Potamogeton-pusillus-(Small-Pondweed)
Potamogeton robbinsii,Robbins' Pondweed,,Perennial herb,http://calscape.org/Potamogeton-robbinsii-(Robbins'-Pondweed)
Potentilla anserina,Silverweed,,Perennial herb,http://calscape.org/Potentilla-anserina-(Silverweed)
Potentilla anserina ssp. anserina,Common Silverweed,,Perennial herb,http://calscape.org/Potentilla-anserina-ssp.-anserina-(Common-Silverweed)
Potentilla anserina ssp. pacifica,Pacific Potentilla,,Perennial herb,http://calscape.org/Potentilla-anserina-ssp.-pacifica-(Pacific-Potentilla)
Potentilla basaltica,Black Rock Potentilla,,Perennial herb,http://calscape.org/Potentilla-basaltica-(Black-Rock-Potentilla)
Potentilla biennis,Biennial Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-biennis-(Biennial-Cinquefoil)
Potentilla breweri,Brewer's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-breweri-(Brewer's-Cinquefoil)
Potentilla bruceae,Bruce's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-bruceae-(Bruce's-Cinquefoil)
Potentilla cristae,Crested Potentilla,,Perennial herb,http://calscape.org/Potentilla-cristae-(Crested-Potentilla)
Potentilla drummondii,Drummond's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-drummondii-(Drummond's-Cinquefoil)
Potentilla flabellifolia,"Fan-foil, Fanleaf Cinquefoil",,Perennial herb,"http://calscape.org/Potentilla-flabellifolia-(Fan-foil,-Fanleaf-Cinquefoil)"
Potentilla glaucophylla,Varileaf Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-glaucophylla-(Varileaf-Cinquefoil)
Potentilla gracilis,Slender Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-gracilis-(Slender-Cinquefoil)
Potentilla gracilis var. elmeri,,,Perennial herb,http://calscape.org/Potentilla-gracilis-var.-elmeri-()
Potentilla gracilis var. fastigiata,,,Perennial herb,http://calscape.org/Potentilla-gracilis-var.-fastigiata-()
Potentilla gracilis var. flabelliformis,,,Perennial herb,http://calscape.org/Potentilla-gracilis-var.-flabelliformis-()
Potentilla gracilis var. gracilis,,,Perennial herb,http://calscape.org/Potentilla-gracilis-var.-gracilis-()
Potentilla grayi,Gray's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-grayi-(Gray's-Cinquefoil)
Potentilla hickmanii,Hickman's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-hickmanii-(Hickman's-Cinquefoil)
Potentilla jepsonii,Jepson's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-jepsonii-(Jepson's-Cinquefoil)
Potentilla millefolia,Feather Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-millefolia-(Feather-Cinquefoil)
Potentilla morefieldii,Morefield's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-morefieldii-(Morefield's-Cinquefoil)
Potentilla newberryi,Newberry's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-newberryi-(Newberry's-Cinquefoil)
Potentilla pensylvanica,Prairie Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-pensylvanica-(Prairie-Cinquefoil)
Potentilla pseudosericea,Mono Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-pseudosericea-(Mono-Cinquefoil)
Potentilla pulcherrima,Beautiful Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-pulcherrima-(Beautiful-Cinquefoil)
Potentilla rimicola,Cliff Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-rimicola-(Cliff-Cinquefoil)
Potentilla rivalis,Brook or River Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-rivalis-(Brook-Or-River-Cinquefoil)
Potentilla wheeleri,Wheeler's Cinquefoil,,Perennial herb,http://calscape.org/Potentilla-wheeleri-(Wheeler's-Cinquefoil)
Poteridium annuum,Western Burnet,,"Perennial herb,Annual herb",http://calscape.org/Poteridium-annuum-(Western-Burnet)
Prenanthella exigua,Brightwhite,,Annual herb,http://calscape.org/Prenanthella-exigua-(Brightwhite)
Primula clevelandii,Padre's Shootingstar,,Perennial herb,http://calscape.org/Primula-clevelandii-(Padre's-Shootingstar)
Primula clevelandii var. clevelandii,,,Perennial herb,http://calscape.org/Primula-clevelandii-var.-clevelandii-()
Primula clevelandii var. gracilis,Padre's Shootingstar,,Perennial herb,http://calscape.org/Primula-clevelandii-var.-gracilis-(Padre's-Shootingstar)
Primula clevelandii var. insularis,Shooting Star,,Perennial herb,http://calscape.org/Primula-clevelandii-var.-insularis-(Shooting-Star)
Primula clevelandii var. patula,Shooting Star,,Perennial herb,http://calscape.org/Primula-clevelandii-var.-patula-(Shooting-Star)
Primula conjugens,Bonneville Shooting Star,,Perennial herb,http://calscape.org/Primula-conjugens-(Bonneville-Shooting-Star)
Primula fragrans,Scented Shootingstar,,Perennial herb,http://calscape.org/Primula-fragrans-(Scented-Shootingstar)
Primula hendersonii,Mosquito Bills,,Perennial herb,http://calscape.org/Primula-hendersonii-(Mosquito-Bills)
Primula jeffreyi,Sierra Shooting Star,,Perennial herb,http://calscape.org/Primula-jeffreyi-(Sierra-Shooting-Star)
Primula pauciflora,Dark Throated Shooting Star,,Perennial herb,http://calscape.org/Primula-pauciflora-(Dark-Throated-Shooting-Star)
Primula suffrutescens,Sierra Primrose,,Perennial herb,http://calscape.org/Primula-suffrutescens-(Sierra-Primrose)
Primula tetrandra,Alpine Shootingstar,,Perennial herb,http://calscape.org/Primula-tetrandra-(Alpine-Shootingstar)
Proboscidea althaeifolia,Desert Unicorn-plant,,Perennial herb,http://calscape.org/Proboscidea-althaeifolia-(Desert-Unicorn-plant)
Proboscidea parviflora,Doubleclaw,,Annual herb,http://calscape.org/Proboscidea-parviflora-(Doubleclaw)
Prosartes hookeri,Hooker's Fairy Bell,,Perennial herb,http://calscape.org/Prosartes-hookeri-(Hooker's-Fairy-Bell)
Prosartes parvifolia,Drops Of Gold,,Perennial herb,http://calscape.org/Prosartes-parvifolia-(Drops-Of-Gold)
Prosartes smithii,Large Flowered Fairy Bell,,Perennial herb,http://calscape.org/Prosartes-smithii-(Large-Flowered-Fairy-Bell)
Prosopis glandulosa,Honey Mesquite,,Tree,http://calscape.org/Prosopis-glandulosa-(Honey-Mesquite)
Prosopis glandulosa var. torreyana,Mesquite,,Tree,http://calscape.org/Prosopis-glandulosa-var.-torreyana-(Mesquite)
Prosopis pubescens,Screwbean Mesquite,,Tree,http://calscape.org/Prosopis-pubescens-(Screwbean-Mesquite)
Prunella vulgaris,Common Selfheal,,Perennial herb,http://calscape.org/Prunella-vulgaris-(Common-Selfheal)
Prunella vulgaris var. lanceolata,Lance Leaf Self Heal,,Perennial herb,http://calscape.org/Prunella-vulgaris-var.-lanceolata-(Lance-Leaf-Self-Heal)
Prunus andersonii,Desert Peach,,"Tree,Shrub",http://calscape.org/Prunus-andersonii-(Desert-Peach)
Prunus emarginata,Bitter Cherry,,"Tree,Shrub",http://calscape.org/Prunus-emarginata-(Bitter-Cherry)
Prunus eremophila,Mojave Desert Plum,,Tree,http://calscape.org/Prunus-eremophila-(Mojave-Desert-Plum)
Prunus fasciculata,Desert Range Almond,,"Tree,Shrub",http://calscape.org/Prunus-fasciculata-(Desert-Range-Almond)
Prunus fasciculata var. fasciculata,,,Tree,http://calscape.org/Prunus-fasciculata-var.-fasciculata-()
Prunus fasciculata var. punctata,Sand Almond,,"Tree,Shrub",http://calscape.org/Prunus-fasciculata-var.-punctata-(Sand-Almond)
Prunus fremontii,Desert Apricot,,"Tree,Shrub",http://calscape.org/Prunus-fremontii-(Desert-Apricot)
Prunus ilicifolia,Hollyleaf Cherry,,Tree,http://calscape.org/Prunus-ilicifolia-(Hollyleaf-Cherry)
Prunus ilicifolia ssp. ilicifolia,Hollyleaf Cherry,,Tree,http://calscape.org/Prunus-ilicifolia-ssp.-ilicifolia-(Hollyleaf-Cherry)
Prunus ilicifolia ssp. lyonii,Catalina Cherry,,"Tree,Shrub",http://calscape.org/Prunus-ilicifolia-ssp.-lyonii-(Catalina-Cherry)
Prunus subcordata,Klamath Plum,,"Tree,Shrub",http://calscape.org/Prunus-subcordata-(Klamath-Plum)
Prunus virginiana,Chokecherry,,"Tree,Shrub",http://calscape.org/Prunus-virginiana-(Chokecherry)
Prunus virginiana var. demissa,Western Chokecherry,,"Tree,Shrub",http://calscape.org/Prunus-virginiana-var.-demissa-(Western-Chokecherry)
Psathyrotes annua,,,"Perennial herb,Annual herb",http://calscape.org/Psathyrotes-annua-()
Psathyrotes ramosissima,Turtleback,,"Perennial herb,Annual herb",http://calscape.org/Psathyrotes-ramosissima-(Turtleback)
Pseudobahia bahiifolia,Hartweg's Golden Sunburst,,Annual herb,http://calscape.org/Pseudobahia-bahiifolia-(Hartweg's-Golden-Sunburst)
Pseudobahia heermannii,"Foothill Sunburst, Brittlestem",,Annual herb,"http://calscape.org/Pseudobahia-heermannii-(Foothill-Sunburst,-Brittlestem)"
Pseudobahia peirsonii,San Joaquin Adobe Sunburst,,Annual herb,http://calscape.org/Pseudobahia-peirsonii-(San-Joaquin-Adobe-Sunburst)
Pseudognaphalium beneolens,Fragrant Everlasting,,Perennial herb,http://calscape.org/Pseudognaphalium-beneolens-(Fragrant-Everlasting)
Pseudognaphalium biolettii,Bicolored Everlasting,,Perennial herb,http://calscape.org/Pseudognaphalium-biolettii-(Bicolored-Everlasting)
Pseudognaphalium californicum,California Cudweed,,"Perennial herb,Annual herb",http://calscape.org/Pseudognaphalium-californicum-(California-Cudweed)
Pseudognaphalium canescens,Wright's Cudweed,,Perennial herb,http://calscape.org/Pseudognaphalium-canescens-(Wright's-Cudweed)
Pseudognaphalium leucocephalum,White Rabbit-tobacco,,Perennial herb,http://calscape.org/Pseudognaphalium-leucocephalum-(White-Rabbit-tobacco)
Pseudognaphalium macounii,Macoun's Everlasting,,Perennial herb,http://calscape.org/Pseudognaphalium-macounii-(Macoun's-Everlasting)
Pseudognaphalium microcephalum,Wright's Cudweed,,Perennial herb,http://calscape.org/Pseudognaphalium-microcephalum-(Wright's-Cudweed)
Pseudognaphalium ramosissimum,,,Perennial herb,http://calscape.org/Pseudognaphalium-ramosissimum-()
Pseudognaphalium stramineum,Chilean Cudweed,,Perennial herb,http://calscape.org/Pseudognaphalium-stramineum-(Chilean-Cudweed)
Pseudognaphalium thermale,,,Perennial herb,http://calscape.org/Pseudognaphalium-thermale-()
Pseudorontium cyathiferum,Deep Canyon Snapdragon,,Annual herb,http://calscape.org/Pseudorontium-cyathiferum-(Deep-Canyon-Snapdragon)
Pseudostellaria jamesiana,Tuber Starwort,,Perennial herb,http://calscape.org/Pseudostellaria-jamesiana-(Tuber-Starwort)
Pseudostellaria sierrae,Sierra Starwort,,Perennial herb,http://calscape.org/Pseudostellaria-sierrae-(Sierra-Starwort)
Pseudotrillium rivale,Stream Trillium,,Perennial herb,http://calscape.org/Pseudotrillium-rivale-(Stream-Trillium)
Pseudotsuga macrocarpa,Bigcone Douglas Fir,,Tree,http://calscape.org/Pseudotsuga-macrocarpa-(Bigcone-Douglas-Fir)
Pseudotsuga menziesii,Douglas Fir,,Tree,http://calscape.org/Pseudotsuga-menziesii-(Douglas-Fir)
Pseudotsuga menziesii var. menziesii,Western Douglas Fir,,Tree,http://calscape.org/Pseudotsuga-menziesii-var.-menziesii-(Western-Douglas-Fir)
Psilocarphus brevissimus,,,Annual herb,http://calscape.org/Psilocarphus-brevissimus-()
Psilocarphus brevissimus var. brevissimus,Dwarf Woollyheads,,Annual herb,http://calscape.org/Psilocarphus-brevissimus-var.-brevissimus-(Dwarf-Woollyheads)
Psilocarphus chilensis,Round Woolly-marbles,,Annual herb,http://calscape.org/Psilocarphus-chilensis-(Round-Woolly-marbles)
Psilocarphus elatior,Tall Woolly-marbles,,Annual herb,http://calscape.org/Psilocarphus-elatior-(Tall-Woolly-marbles)
Psilocarphus oregonus,Oregon Woollyheads,,Annual herb,http://calscape.org/Psilocarphus-oregonus-(Oregon-Woollyheads)
Psilocarphus tenellus,Slender Woolly-marbles,,Annual herb,http://calscape.org/Psilocarphus-tenellus-(Slender-Woolly-marbles)
Psilostrophe cooperi,Paperflower,,Shrub,http://calscape.org/Psilostrophe-cooperi-(Paperflower)
Psorothamnus arborescens,California Dalea,,Shrub,http://calscape.org/Psorothamnus-arborescens-(California-Dalea)
Psorothamnus arborescens var. arborescens,,,Shrub,http://calscape.org/Psorothamnus-arborescens-var.-arborescens-()
Psorothamnus arborescens var. minutifolius,,,Shrub,http://calscape.org/Psorothamnus-arborescens-var.-minutifolius-()
Psorothamnus arborescens var. simplicifolius,,,Shrub,http://calscape.org/Psorothamnus-arborescens-var.-simplicifolius-()
Psorothamnus emoryi,,,Shrub,http://calscape.org/Psorothamnus-emoryi-()
Psorothamnus fremontii,,,Shrub,http://calscape.org/Psorothamnus-fremontii-()
Psorothamnus fremontii var. attenuatus,Narrow-leaved Psorothamnus,,Shrub,http://calscape.org/Psorothamnus-fremontii-var.-attenuatus-(Narrow-leaved-Psorothamnus)
Psorothamnus fremontii var. fremontii,,,Shrub,http://calscape.org/Psorothamnus-fremontii-var.-fremontii-()
Psorothamnus polydenius,,,Shrub,http://calscape.org/Psorothamnus-polydenius-()
Psorothamnus schottii,Schott Indigobush,,Shrub,http://calscape.org/Psorothamnus-schottii-(Schott-Indigobush)
Psorothamnus spinosus,Smoke Tree,,Tree,http://calscape.org/Psorothamnus-spinosus-(Smoke-Tree)
Ptelea crenulata,Western Hoptree,,Tree,http://calscape.org/Ptelea-crenulata-(Western-Hoptree)
Pteridium aquilinum,Western Brackenfern,,Fern,http://calscape.org/Pteridium-aquilinum-(Western-Brackenfern)
Pteridium aquilinum var. pubescens,Hairy Brackenfern,,Fern,http://calscape.org/Pteridium-aquilinum-var.-pubescens-(Hairy-Brackenfern)
Pterospora andromedea,Pine Drops,,Perennial herb,http://calscape.org/Pterospora-andromedea-(Pine-Drops)
Pterostegia drymarioides,,,Annual herb,http://calscape.org/Pterostegia-drymarioides-()
Puccinellia howellii,Howell's Alkali Grass,,Grasses,http://calscape.org/Puccinellia-howellii-(Howell's-Alkali-Grass)
Puccinellia lemmonii,Lemmon's Alkali Grass,,Grasses,http://calscape.org/Puccinellia-lemmonii-(Lemmon's-Alkali-Grass)
Puccinellia nutkaensis,Alaska Alkali Grass,,Grasses,http://calscape.org/Puccinellia-nutkaensis-(Alaska-Alkali-Grass)
Puccinellia nuttalliana,Nuttall's Alkali Grass,,Grasses,http://calscape.org/Puccinellia-nuttalliana-(Nuttall's-Alkali-Grass)
Puccinellia simplex,,,Grasses,http://calscape.org/Puccinellia-simplex-()
Purshia mexicana,Mexican Cliffrose,,Shrub,http://calscape.org/Purshia-mexicana-(Mexican-Cliffrose)
Purshia stansburyana,Stansbury's Antelope Brush,,Shrub,http://calscape.org/Purshia-stansburyana-(Stansbury's-Antelope-Brush)
Purshia tridentata,Antelope Bitterbrush,,Shrub,http://calscape.org/Purshia-tridentata-(Antelope-Bitterbrush)
Purshia tridentata var. glandulosa,Desert Bitterbrush,,Shrub,http://calscape.org/Purshia-tridentata-var.-glandulosa-(Desert-Bitterbrush)
Purshia tridentata var. tridentata,Antelope Bitterbrush,,Shrub,http://calscape.org/Purshia-tridentata-var.-tridentata-(Antelope-Bitterbrush)
Pycnanthemum californicum,Mountain Mint,,Perennial herb,http://calscape.org/Pycnanthemum-californicum-(Mountain-Mint)
Pyrola aphylla,Leafless Wintergreen,,Perennial herb,http://calscape.org/Pyrola-aphylla-(Leafless-Wintergreen)
Pyrola asarifolia,,,Perennial herb,http://calscape.org/Pyrola-asarifolia-()
Pyrola asarifolia ssp. asarifolia,Bog Wintergreen,,Perennial herb,http://calscape.org/Pyrola-asarifolia-ssp.-asarifolia-(Bog-Wintergreen)
Pyrola chlorantha,Green-flowered Wintergreen,,Perennial herb,http://calscape.org/Pyrola-chlorantha-(Green-flowered-Wintergreen)
Pyrola dentata,Toothed Wintergreen,,Perennial herb,http://calscape.org/Pyrola-dentata-(Toothed-Wintergreen)
Pyrola minor,Lesser Wintergreen,,Perennial herb,http://calscape.org/Pyrola-minor-(Lesser-Wintergreen)
Pyrola picta,White-veined Wintergreen,,Perennial herb,http://calscape.org/Pyrola-picta-(White-veined-Wintergreen)
Pyrrocoma apargioides,Alpineflames,,Perennial herb,http://calscape.org/Pyrrocoma-apargioides-(Alpineflames)
Pyrrocoma carthamoides,,,Perennial herb,http://calscape.org/Pyrrocoma-carthamoides-()
Pyrrocoma carthamoides var. cusickii,Large-flowered Goldenweed,,Perennial herb,http://calscape.org/Pyrrocoma-carthamoides-var.-cusickii-(Large-flowered-Goldenweed)
Pyrrocoma lanceolata,,,Perennial herb,http://calscape.org/Pyrrocoma-lanceolata-()
Pyrrocoma lucida,Sticky Pyrrocoma,,Perennial herb,http://calscape.org/Pyrrocoma-lucida-(Sticky-Pyrrocoma)
Pyrrocoma racemosa,,,Perennial herb,http://calscape.org/Pyrrocoma-racemosa-()
Pyrrocoma racemosa var. congesta,Del Norte Pyrrocoma,,Perennial herb,http://calscape.org/Pyrrocoma-racemosa-var.-congesta-(Del-Norte-Pyrrocoma)
Pyrrocoma racemosa var. paniculata,,,Perennial herb,http://calscape.org/Pyrrocoma-racemosa-var.-paniculata-()
Pyrrocoma racemosa var. pinetorum,Pine Pyrrocoma,,Perennial herb,http://calscape.org/Pyrrocoma-racemosa-var.-pinetorum-(Pine-Pyrrocoma)
Pyrrocoma racemosa var. sessiliflora,,,Perennial herb,http://calscape.org/Pyrrocoma-racemosa-var.-sessiliflora-()
Pyrrocoma uniflora,,,Perennial herb,http://calscape.org/Pyrrocoma-uniflora-()
Pyrrocoma uniflora var. gossypina,Bear Valley Pyrrocoma,,Perennial herb,http://calscape.org/Pyrrocoma-uniflora-var.-gossypina-(Bear-Valley-Pyrrocoma)
Pyrrocoma uniflora var. uniflora,,,Perennial herb,http://calscape.org/Pyrrocoma-uniflora-var.-uniflora-()
Quercus agrifolia,Coast Live Oak,,Tree,http://calscape.org/Quercus-agrifolia-(Coast-Live-Oak)
Quercus agrifolia var. agrifolia,Coast Live Oak,,Tree,http://calscape.org/Quercus-agrifolia-var.-agrifolia-(Coast-Live-Oak)
Quercus agrifolia var. oxyadenia,,,Tree,http://calscape.org/Quercus-agrifolia-var.-oxyadenia-()
Quercus berberidifolia,Scrub Oak,,Tree,http://calscape.org/Quercus-berberidifolia-(Scrub-Oak)
Quercus chrysolepis,Canyon Live Oak,,Tree,http://calscape.org/Quercus-chrysolepis-(Canyon-Live-Oak)
Quercus cornelius-mulleri,Muller Oak,,Tree,http://calscape.org/Quercus-cornelius-mulleri-(Muller-Oak)
Quercus douglasii,Blue Oak,,Tree,http://calscape.org/Quercus-douglasii-(Blue-Oak)
Quercus dumosa,Nuttall's Scrub Oak,,"Tree,Shrub",http://calscape.org/Quercus-dumosa-(Nuttall's-Scrub-Oak)
Quercus durata,Leather Oak,,Tree,http://calscape.org/Quercus-durata-(Leather-Oak)
Quercus durata var. durata,Leather Oak,,Tree,http://calscape.org/Quercus-durata-var.-durata-(Leather-Oak)
Quercus durata var. gabrielensis,San Gabriel Oak,,Tree,http://calscape.org/Quercus-durata-var.-gabrielensis-(San-Gabriel-Oak)
Quercus engelmannii,Engelmann Oak,,Tree,http://calscape.org/Quercus-engelmannii-(Engelmann-Oak)
Quercus garryana,Garry's Oak,,Tree,http://calscape.org/Quercus-garryana-(Garry's-Oak)
Quercus garryana var. breweri,Garry's Oak,,Tree,http://calscape.org/Quercus-garryana-var.-breweri-(Garry's-Oak)
Quercus garryana var. garryana,Oregon White Oak,,Tree,http://calscape.org/Quercus-garryana-var.-garryana-(Oregon-White-Oak)
Quercus garryana var. semota,Oregon White Oak,,Tree,http://calscape.org/Quercus-garryana-var.-semota-(Oregon-White-Oak)
Quercus john-tuckeri,Tucker's Oak,,Tree,http://calscape.org/Quercus-john-tuckeri-(Tucker's-Oak)
Quercus kelloggii,Black Oak,,Tree,http://calscape.org/Quercus-kelloggii-(Black-Oak)
Quercus lobata,Valley Oak,,Tree,http://calscape.org/Quercus-lobata-(Valley-Oak)
Quercus pacifica,Island Scrub Oak,,Tree,http://calscape.org/Quercus-pacifica-(Island-Scrub-Oak)
Quercus palmeri,Desert Oak,,Tree,http://calscape.org/Quercus-palmeri-(Desert-Oak)
Quercus parvula,Santa Cruz Island Oak,,Tree,http://calscape.org/Quercus-parvula-(Santa-Cruz-Island-Oak)
Quercus parvula var. parvula,Santa Cruz Island Oak,,Tree,http://calscape.org/Quercus-parvula-var.-parvula-(Santa-Cruz-Island-Oak)
Quercus parvula var. shrevei,Shreve Oak,,Tree,http://calscape.org/Quercus-parvula-var.-shrevei-(Shreve-Oak)
Quercus parvula var. tamalpaisensis,Tamalpais Oak,,Tree,http://calscape.org/Quercus-parvula-var.-tamalpaisensis-(Tamalpais-Oak)
Quercus sadleriana,Deer Oak,,Tree,http://calscape.org/Quercus-sadleriana-(Deer-Oak)
Quercus tomentella,Island Oak,,Tree,http://calscape.org/Quercus-tomentella-(Island-Oak)
Quercus turbinella,Grey Oak,,Tree,http://calscape.org/Quercus-turbinella-(Grey-Oak)
Quercus vacciniifolia,Huckleberry Oak,,Tree,http://calscape.org/Quercus-vacciniifolia-(Huckleberry-Oak)
Quercus wislizeni,Interior Live Oak,,Tree,http://calscape.org/Quercus-wislizeni-(Interior-Live-Oak)
Quercus wislizeni var. frutescens,Interior Live Oak,,Tree,http://calscape.org/Quercus-wislizeni-var.-frutescens-(Interior-Live-Oak)
Quercus wislizeni var. wislizeni,Interior Live Oak,,Tree,http://calscape.org/Quercus-wislizeni-var.-wislizeni-(Interior-Live-Oak)
Rafinesquia californica,California Plumseed,,Annual herb,http://calscape.org/Rafinesquia-californica-(California-Plumseed)
Rafinesquia neomexicana,New Mexico Plumseed,,Annual herb,http://calscape.org/Rafinesquia-neomexicana-(New-Mexico-Plumseed)
Raillardella argentea,Silky Raillardella,,Perennial herb,http://calscape.org/Raillardella-argentea-(Silky-Raillardella)
Raillardella pringlei,Showy Raillardella,,Perennial herb,http://calscape.org/Raillardella-pringlei-(Showy-Raillardella)
Raillardella scaposa,,,Perennial herb,http://calscape.org/Raillardella-scaposa-()
Ranunculus alismifolius,Alisma Leaved Buttercup,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-alismifolius-(Alisma-Leaved-Buttercup)
Ranunculus alismifolius var. alismellus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-alismifolius-var.-alismellus-()
Ranunculus alismifolius var. alismifolius,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-alismifolius-var.-alismifolius-()
Ranunculus andersonii,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-andersonii-()
Ranunculus aquatilis,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-aquatilis-()
Ranunculus aquatilis var. aquatilis,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-aquatilis-var.-aquatilis-()
Ranunculus aquatilis var. diffusus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-aquatilis-var.-diffusus-()
Ranunculus bonariensis,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-bonariensis-()
Ranunculus bonariensis var. trisepalus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-bonariensis-var.-trisepalus-()
Ranunculus californicus,California Buttercup,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-californicus-(California-Buttercup)
Ranunculus californicus var. californicus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-californicus-var.-californicus-()
Ranunculus californicus var. cuneatus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-californicus-var.-cuneatus-()
Ranunculus canus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-canus-()
Ranunculus canus var. canus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-canus-var.-canus-()
Ranunculus cymbalaria,Desert Buttercup,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-cymbalaria-(Desert-Buttercup)
Ranunculus eschscholtzii,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-eschscholtzii-()
Ranunculus eschscholtzii var. oxynotus,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-eschscholtzii-var.-oxynotus-()
Ranunculus eschscholtzii var. suksdorfii,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-eschscholtzii-var.-suksdorfii-()
Ranunculus flabellaris,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-flabellaris-()
Ranunculus flammula,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-flammula-()
Ranunculus flammula var. ovalis,,,"Perennial herb,Annual herb",http://calscape.org/Ranunculus-flammula-var.-ovalis-()
