PDT,Max Temperature,Mean Temperature,Min Temperature,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind Speed, Mean Wind Speed, Max Gust Speed,Precipitation, CloudCover, Events, WindDirDegrees
2013-5-14,76,69,61,57,55,52,90,68,46,30.00,29.95,29.91,10,10,8,13,7,18,0.00,2,,219
2013-5-15,70,66,61,54,53,52,78,68,57,30.04,30.00,29.96,10,10,8,14,8,18,0.00,4,,180
2013-5-16,72,67,61,55,53,51,72,63,53,29.99,29.95,29.90,10,10,10,14,7,18,0.00,7,,201
2013-5-17,71,66,61,56,55,53,78,68,57,30.00,29.95,29.91,10,10,7,17,8,24,0.00,6,,201
2013-5-18,72,66,60,56,54,53,84,69,53,30.04,30.00,29.98,10,10,7,15,8,20,0.00,2,,196
2013-5-19,72,66,60,56,55,54,84,69,53,29.99,29.95,29.89,10,10,10,15,6,22,0.00,3,,195
2013-5-20,76,68,60,58,57,54,84,69,54,29.95,29.93,29.89,10,10,8,14,5,18,0.00,2,,192
2013-5-21,74,68,62,58,57,57,84,71,57,29.94,29.90,29.85,10,9,9,17,7,21,0.00,6,,182
2013-5-22,71,67,63,55,54,52,78,68,57,29.85,29.82,29.78,10,10,9,16,7,21,0.00,6,,190
2013-5-23,71,65,59,54,52,50,78,65,51,29.94,29.88,29.83,10,10,8,15,9,20,0.00,5,,196
2013-5-24,69,65,60,53,51,50,72,64,55,30.00,29.96,29.92,10,10,9,15,8,20,0.00,5,,180
2013-5-25,71,64,56,54,51,48,77,64,51,30.03,30.00,29.97,10,10,9,14,7,18,0.00,4,,167
2013-5-26,69,64,59,53,52,50,78,67,55,30.06,30.02,29.99,10,10,10,16,8,21,0.00,4,,163
2013-5-27,72,65,58,57,54,52,78,66,53,30.01,29.94,29.87,10,10,10,15,5,20,0.00,4,,178
2013-5-28,73,68,62,57,55,53,78,68,57,29.87,29.82,29.76,10,10,10,16,6,24,0.00,4,,184
2013-5-29,76,69,61,59,57,55,84,71,57,29.81,29.78,29.73,10,10,10,13,5,18,0.00,3,,202
2013-5-30,74,68,61,58,57,56,84,71,57,29.89,29.83,29.77,10,10,7,16,7,20,0.00,3,,179
2013-5-31,75,69,62,59,57,55,84,69,54,29.91,29.87,29.82,10,10,9,12,5,16,0.00,5,,192
2013-6-1,77,71,64,60,58,57,78,69,60,29.87,29.81,29.77,10,9,8,14,5,18,0.00,6,,201
2013-6-2,71,68,64,59,57,55,84,74,63,29.84,29.81,29.77,10,9,6,17,8,23,0.00,7,,191
2013-6-3,73,68,62,57,56,54,78,68,57,29.90,29.85,29.80,10,10,9,15,7,21,0.00,7,,181
2013-6-4,72,67,62,56,55,54,78,66,53,29.97,29.93,29.89,10,10,8,13,6,18,0.00,5,,210
2013-6-5,73,68,63,56,55,53,73,63,53,30.00,29.96,29.91,10,10,10,14,6,20,0.00,4,,273
2013-6-6,70,66,61,57,56,55,84,74,63,29.96,29.92,29.88,10,10,9,12,4,21,0.00,5,,250
2013-6-7,71,66,61,57,56,55,84,73,61,29.91,29.85,29.81,10,8,5,12,5,15,0.00,6,,228
2013-6-8,68,65,61,57,56,55,84,76,68,29.91,29.86,29.80,10,10,10,15,7,20,0.00,7,,201
2013-6-9,70,66,61,57,55,54,84,75,66,29.94,29.90,29.88,10,10,7,15,5,18,0.00,6,,206
2013-6-10,74,68,61,58,55,52,72,63,53,29.96,29.92,29.90,10,10,10,13,6,18,0.00,4,,194
2013-6-11,77,70,62,60,58,56,84,71,57,29.94,29.91,29.88,10,10,10,13,5,17,0.00,4,,236
2013-6-12,72,68,63,58,57,56,84,75,66,30.04,29.98,29.93,10,10,10,13,5,17,0.00,7,,215
2013-6-13,73,69,64,57,56,56,78,68,57,30.01,29.96,29.91,10,10,9,12,5,18,0.00,4,,221
2013-6-14,72,67,62,57,55,53,84,71,57,29.93,29.90,29.86,10,9,7,17,7,21,0.00,5,,189
2013-6-15,72,67,61,56,54,53,78,66,53,29.99,29.95,29.90,10,9,7,14,6,20,0.00,4,,210
2013-6-16,74,68,62,57,55,53,78,66,53,30.04,29.98,29.95,10,9,6,12,3,,0.00,3,,222
2013-6-17,75,69,62,58,57,57,84,71,57,29.99,29.94,29.89,10,8,6,10,4,,0.00,4,,199
2013-6-18,73,67,60,60,57,55,90,76,61,29.93,29.88,29.85,9,8,4,16,6,21,0.00,4,,205
2013-6-19,77,70,63,60,56,51,78,61,43,29.88,29.83,29.80,10,9,7,12,5,16,0.00,4,,218
2013-6-20,76,69,61,59,57,55,84,67,50,29.86,29.83,29.80,10,9,6,16,5,21,0.00,1,,204
2013-6-21,75,69,62,59,57,56,84,71,57,29.91,29.87,29.83,10,8,7,16,6,21,0.00,2,,202
2013-6-22,73,68,63,58,57,55,84,71,57,29.92,29.88,29.82,10,9,7,16,8,23,0.00,3,,188
2013-6-23,72,68,63,57,56,54,78,66,53,29.88,29.85,29.81,10,9,6,13,7,20,0.00,7,,194
2013-6-24,74,68,62,59,57,53,90,72,53,29.95,29.91,29.83,10,8,2,10,7,,0.01,6,Rain,191
2013-6-25,76,70,64,61,60,59,87,73,58,30.00,29.96,29.90,10,9,7,9,4,28,0.00,4,,247
2013-6-26,79,72,64,62,61,60,87,71,54,29.98,29.95,29.90,10,10,8,14,5,18,0.00,2,,208
2013-6-27,82,74,65,63,62,61,93,70,47,30.02,29.99,29.97,10,9,6,15,6,18,0.00,4,,204
2013-6-28,82,73,64,63,62,61,93,72,51,29.99,29.93,29.87,10,8,4,14,5,20,0.00,4,Fog,210
2013-6-29,83,74,65,64,63,60,93,70,47,29.87,29.81,29.73,10,6,1,14,6,16,0.00,4,Fog,208
2013-6-30,84,76,68,65,64,62,87,71,54,29.81,29.76,29.71,10,9,6,22,7,26,0.00,2,,216
2013-7-1,89,78,67,65,64,62,87,65,43,29.89,29.85,29.81,10,10,8,14,5,17,0.00,3,,220
2013-7-2,76,72,67,64,63,61,93,79,64,30.00,29.93,29.88,10,8,4,15,7,21,0.00,4,,226
2013-7-3,77,72,67,63,62,61,87,74,60,29.93,29.87,29.81,10,7,3,9,5,,0.00,5,,225
2013-7-4,77,71,64,61,60,59,87,74,60,29.84,29.81,29.76,10,8,2,13,5,17,0.00,5,,211
2013-7-5,76,71,66,61,60,59,81,71,60,29.84,29.81,29.78,10,9,6,14,6,20,0.00,6,,203
2013-7-6,78,73,67,62,61,59,81,71,60,29.83,29.80,29.76,10,10,10,15,5,20,0.00,6,,212
2013-7-7,79,74,68,62,61,60,76,67,58,29.86,29.81,29.77,10,9,6,8,3,,0.00,4,,246
2013-7-8,82,74,65,62,61,59,87,69,51,29.93,29.88,29.85,10,9,6,9,3,,0.00,1,,229
2013-7-9,80,73,66,63,61,59,81,70,58,30.00,29.95,29.90,10,9,5,17,7,22,0.00,1,,210
2013-7-10,78,73,68,64,63,62,81,71,60,29.97,29.94,29.90,10,8,7,16,6,20,T,5,Rain,210
2013-7-11,75,72,69,64,63,62,78,73,68,29.96,29.93,29.89,10,8,6,13,5,15,T,5,Rain,219
2013-7-12,83,76,69,64,63,60,84,69,54,29.93,29.90,29.85,10,8,6,13,6,17,T,5,Rain,211
2013-7-13,79,73,67,61,61,60,81,69,56,29.96,29.92,29.86,10,8,6,12,5,16,0.00,5,,220
2013-7-14,82,74,66,64,62,60,81,66,51,29.93,29.88,29.83,10,8,6,13,5,16,0.00,4,,208
2013-7-15,81,75,68,63,61,56,81,62,42,29.87,29.85,29.80,10,9,7,13,5,20,0.00,1,,211
2013-7-16,79,72,64,61,59,54,84,66,48,29.98,29.91,29.86,10,9,2,13,4,17,0.00,3,,227
2013-7-17,84,74,64,60,58,46,84,56,28,30.01,29.98,29.94,10,10,10,13,4,16,0.00,1,,245
2013-7-18,79,72,64,61,60,58,87,68,48,29.99,29.94,29.86,10,9,6,12,5,16,0.00,3,,226
2013-7-19,75,70,64,61,60,59,87,74,60,29.91,29.88,29.83,10,7,5,14,5,18,0.00,6,,197
2013-7-20,73,70,67,61,60,59,81,75,68,29.88,29.85,29.81,10,8,6,13,4,16,T,7,Rain,202
2013-7-21,72,70,67,62,61,60,81,75,68,29.92,29.87,29.81,10,9,7,12,5,15,T,7,Rain,219
2013-7-22,81,74,67,62,61,60,81,68,54,29.98,29.95,29.91,10,10,9,14,5,17,T,3,,222
2013-7-23,79,73,67,63,61,59,81,69,56,30.02,29.98,29.93,10,10,8,12,4,17,0.00,2,,229
2013-7-24,78,72,66,61,60,59,81,69,56,29.97,29.95,29.90,10,9,5,13,4,17,0.00,3,,249
2013-7-25,77,71,65,61,59,59,78,68,58,30.02,29.96,29.93,10,10,7,12,4,17,0.00,5,Rain,226
2013-7-26,80,73,66,62,61,60,81,68,54,30.08,30.02,29.98,10,9,2,9,5,13,0.11,5,Rain,225
2013-7-27,77,72,66,61,60,58,81,71,60,30.01,29.96,29.89,10,9,6,14,5,18,0.00,5,,227
2013-7-28,75,70,64,59,58,57,84,71,58,29.93,29.91,29.88,10,9,5,14,6,18,0.00,6,,218
2013-7-29,76,71,65,57,56,55,73,62,50,30.04,29.97,29.91,10,10,10,14,6,18,0.00,3,,223
2013-7-30,76,70,64,57,56,55,73,62,50,30.12,30.07,30.04,10,10,10,12,3,16,0.00,3,,242
2013-7-31,76,70,64,57,56,55,78,66,53,30.11,30.06,30.01,10,9,7,12,3,20,0.00,5,,244
2013-8-1,77,71,65,58,56,55,73,60,47,30.02,29.98,29.91,10,9,6,13,4,17,0.00,5,,239
2013-8-2,78,72,65,59,57,56,78,64,50,29.97,29.94,29.91,10,9,7,14,5,20,0.00,6,,200
2013-8-3,77,72,67,59,58,57,73,62,50,30.00,29.97,29.94,10,9,7,13,5,17,0.00,6,,210
2013-8-4,77,72,66,58,58,57,73,64,54,30.01,29.98,29.93,10,8,7,12,4,17,0.00,5,,230
2013-8-5,77,70,63,58,57,55,84,67,50,30.00,29.97,29.93,10,7,3,12,4,16,0.00,4,,237
2013-8-6,76,71,65,58,57,55,78,66,54,30.04,30.00,29.97,10,10,9,14,5,20,0.00,4,,219
2013-8-7,76,70,63,58,57,55,84,69,53,30.08,30.03,29.98,10,9,7,12,4,16,0.00,4,,215
2013-8-8,77,70,63,58,57,57,84,67,50,30.00,29.96,29.91,10,10,8,12,4,16,0.00,3,,225
2013-8-9,76,71,65,58,57,55,78,66,54,29.97,29.94,29.91,10,10,7,14,5,18,0.00,4,,213
2013-8-10,77,71,65,59,57,55,78,64,50,30.04,29.99,29.96,10,10,8,14,5,20,0.00,4,,202
2013-8-11,77,71,65,59,57,55,84,66,47,29.99,29.96,29.90,10,10,7,13,5,18,0.00,3,,218
2013-8-12,77,71,65,59,58,57,78,64,50,29.98,29.94,29.90,10,9,5,15,6,18,0.00,5,,203
2013-8-13,79,73,66,61,59,57,78,66,54,29.98,29.93,29.88,10,8,6,13,5,17,0.00,5,,215
2013-8-14,77,71,65,61,59,59,84,70,56,29.93,29.90,29.84,10,8,5,14,5,21,0.00,5,,205
2013-8-15,80,72,64,62,60,58,84,69,54,29.95,29.91,29.89,10,8,4,14,5,18,0.00,3,,213
2013-8-16,82,75,68,63,61,60,76,62,47,29.96,29.93,29.90,10,8,4,13,4,16,0.00,2,,221
2013-8-17,82,74,66,61,60,58,81,63,45,29.95,29.90,29.82,10,8,2,12,4,16,0.00,4,,224
2013-8-18,76,71,66,61,60,59,81,71,60,29.91,29.86,29.83,10,9,5,16,6,21,0.00,4,,207
2013-8-19,79,74,69,61,60,60,73,64,54,29.95,29.90,29.86,10,10,9,14,6,17,0.00,6,,204
2013-8-20,82,75,67,61,60,57,81,66,51,29.94,29.89,29.83,10,7,3,10,3,14,0.00,5,,257
2013-8-21,83,75,67,61,59,58,78,61,43,29.92,29.88,29.83,10,10,7,10,3,14,0.00,2,,242
2013-8-22,86,77,67,60,58,55,78,58,37,29.92,29.87,29.79,10,10,10,10,3,,0.00,2,,231
2013-8-23,84,75,65,61,59,54,84,62,39,29.86,29.81,29.73,10,10,8,12,4,15,0.00,1,,219
2013-8-24,79,71,62,61,59,57,93,73,52,29.88,29.82,29.77,9,5,0,13,4,16,0.00,5,Fog,211
2013-8-25,81,73,64,60,58,56,84,66,48,29.91,29.88,29.85,10,6,2,13,5,15,0.00,4,,231
2013-8-26,91,79,67,61,58,50,81,56,31,29.91,29.87,29.81,10,10,9,12,3,15,0.00,3,,226
2013-8-27,87,78,68,62,59,55,78,56,34,29.84,29.81,29.76,10,10,10,12,6,15,0.00,3,,220
2013-8-28,89,80,70,62,59,55,68,51,34,29.88,29.83,29.77,10,10,9,12,4,15,0.00,1,,215
2013-8-29,95,83,70,61,60,54,73,51,29,29.92,29.89,29.86,10,10,8,13,5,16,0.00,2,,218
2013-8-30,98,88,77,68,64,59,54,45,35,29.96,29.93,29.89,10,10,10,16,5,23,0.00,3,,216
2013-8-31,92,86,79,68,66,61,62,53,44,29.96,29.92,29.87,10,10,10,12,4,16,0.00,4,,229
2013-9-1,90,83,76,68,64,60,60,54,47,29.93,29.89,29.84,10,10,10,12,5,16,0.00,4,,234
2013-9-2,89,79,69,66,65,63,84,65,46,29.91,29.87,29.80,10,9,2,12,5,15,0.00,3,,218
2013-9-3,92,82,72,66,65,63,73,59,44,29.90,29.85,29.81,10,10,10,12,4,15,0.00,3,,224
2013-9-4,95,86,76,64,62,58,69,50,30,29.90,29.86,29.83,10,10,10,12,4,15,0.00,1,,223
2013-9-5,95,85,74,63,62,58,64,46,28,29.88,29.85,29.81,10,10,9,10,6,14,0.00,2,,210
2013-9-6,96,86,76,65,62,57,64,46,28,29.86,29.83,29.78,10,10,7,12,4,16,0.00,2,,221
2013-9-7,96,85,74,64,62,58,69,50,30,29.85,29.83,29.79,10,9,2,12,5,28,0.00,1,,215
2013-9-8,86,79,72,62,60,58,68,56,43,29.85,29.81,29.76,10,9,7,13,4,15,0.00,2,,229
2013-9-9,83,77,71,60,59,58,68,57,46,29.82,29.79,29.75,10,10,7,12,4,16,0.00,3,,229
2013-9-10,80,74,67,58,57,57,73,61,48,29.95,29.88,29.81,10,10,10,13,5,17,0.00,4,,222
2013-9-11,80,74,67,59,58,57,73,61,48,30.00,29.96,29.92,10,10,10,12,4,16,0.00,4,,242
2013-9-12,84,76,67,61,59,58,73,60,46,29.93,29.88,29.82,10,9,5,10,3,15,0.00,1,,245
2013-9-13,86,76,66,62,60,58,81,61,40,29.83,29.77,29.67,10,6,0,10,4,14,0.00,2,Fog,216
2013-9-14,85,75,65,63,61,59,81,63,44,29.72,29.69,29.62,10,6,0,12,4,16,0.00,2,Fog,214
2013-9-15,91,80,69,63,62,60,78,59,40,29.77,29.73,29.70,10,7,3,14,4,17,0.00,2,,217
2013-9-16,92,82,71,62,60,58,68,53,37,29.81,29.78,29.73,10,9,8,13,3,18,0.00,0,,218
2013-9-17,79,74,69,61,60,59,73,63,52,29.83,29.79,29.74,10,9,7,15,6,20,0.00,5,,198
2013-9-18,82,76,69,60,57,55,70,58,45,29.81,29.78,29.75,10,10,10,13,6,21,0.00,4,,178
2013-9-19,80,76,71,61,60,57,68,60,52,29.83,29.79,29.76,10,10,10,15,5,18,0.00,4,,205
2013-9-20,71,70,68,63,60,58,81,77,73,29.88,29.85,29.82,10,8,6,12,4,13,0.00,8,,223
2013-9-21,75,71,67,61,57,55,68,59,50,29.91,29.86,29.81,10,10,10,12,4,16,0.00,5,,243
2013-9-22,76,70,63,60,56,47,84,67,49,29.85,29.81,29.79,10,10,10,14,5,20,0.00,3,,203
2013-9-23,88,74,60,58,52,48,72,50,27,29.89,29.83,29.80,10,10,10,13,3,16,0.00,0,,220
2013-9-24,83,73,63,62,53,45,67,47,26,29.92,29.88,29.84,10,10,10,10,4,16,0.00,0,,222
